a,b,c,d,e
1,14.5,0.6,65.5,17.2
2,16.2,0,3,18.6
3,17.3,2.5,43,20.5
4,21.9,2.1,157.5,22.6
5,25.5,2.2,254,26.1
6,24.3,2.7,241.5,27.3
7,25.2,2.8,382.5,28.4
1,12.8,2.2,24.5,16.6
2,15.1,2.3,1.5,18.5
3,17.8,2.4,9.5,21.8
4,21.6,2.3,2,24.6
5,22.6,2.4,188,26.2
6,24.7,2.9,128.5,28
7,26.1,3.1,294,28.4
1,11.8,2.3,27.5,15.8
2,14.9,2.3,17.5,18.6
3,15.6,2.4,32,19.6
4,21.1,2.3,145,24.1
5,22.5,2.2,109.5,26
6,23.6,3,315,27.1
7,24.8,2.7,57,29.5
1,11.5,2.5,13.5,17
2,13.7,2.3,86,18
3,15.6,2.6,66.5,19.6
4,19.7,2.2,100.5,22.9
5,23.8,2.4,103.5,26.8
6,24.2,2.6,32,28
7,25.4,3.2,936.5,27.9
1,11.6,2.5,11.5,15.9
2,13.9,2.4,164,17.1
3,13.2,2.6,198.5,17.5
4,19.5,2.3,71.5,23.6
5,23.1,2.6,538,26.7
6,23.9,2.9,475,27.2
7,24.2,3.1,333.5,28.6
1,13.7,2.3,18.5,17.6
2,13.9,2.7,17.5,18.3
3,15.2,2.4,97.5,19.7
4,20.3,2.3,179,24
5,22.2,2.6,237.5,25.8
6,23.4,3,698,27
7,24.6,3.2,369,28.7
1,13.2,2.5,51.5,17
2,14.6,2.3,23.5,19.2
3,17.6,2.5,88,20.9
4,18.9,2.2,104.5,22.7
5,22.1,2.3,163.5,26
6,23.9,2.7,671,27.2
7,24.3,3.1,57,29.4
1,13,2.5,18,18.9
2,10.7,2.9,24.5,15.9
3,14.3,2.3,41,21.3
4,19.5,2.3,30,24.5
5,21.4,2.4,263.5,25.4
6,23.5,2.8,207,27.1
7,24.5,3.3,697,27.9
1,10.8,2.5,0,15
2,16.9,2.5,3.5,21.2
3,16.3,2.6,133.5,20
4,18.5,2.3,101.5,22.3
5,20.8,2.1,19,25.5
6,23.7,2.7,353,27.5
7,24.5,2.7,98.5,28.9
1,13.2,2.1,35,17
2,15.5,2.5,108,18.6
3,16.7,2.5,30,21
4,18.8,2.3,128,21.9
5,22.7,2.4,147.5,26.2
6,23.7,2.8,465.5,26.7
7,24.4,3.3,454,28.6
1,11.1,3,28.5,14.7
2,12.9,2.4,18,16.8
3,13.4,2.6,27.5,18
4,17.1,2.3,3.5,22.5
5,22.1,2.3,126,25.5
6,24.4,2.7,242,28.4
7,24.6,2.8,251.5,28.3
1,13.4,2,16,16.8
2,15.8,2.3,0.5,19.6
3,16.9,2.1,36.5,21.1
4,19.8,1.8,273,22.2
5,23.5,2,327,26.2
6,24.7,2.2,81,28.5
7,24.3,2.4,660,27.9
1,10.9,1.9,2.5,15.7
2,13.5,2.1,29,16.9
3,16.2,2,44.5,19.9
4,19.8,1.8,12.5,23.8
5,23.1,2,480.5,25.6
6,25,2.3,238,28.3
7,25.4,2.5,137.5,29.8
1,11.9,1.9,10,16.6
2,13.3,2.1,10.5,18
3,16.8,2,8.5,20.7
4,19.3,2.3,6,24.6
5,23.4,2.2,448,26.8
6,24.8,2.6,164,29.3
7,24.5,2.7,18,29
1,14.3,1.9,155,16.9
2,12.3,2.2,7,16.4
3,15.2,1.8,149,18.3
4,21.6,1.8,135.5,24.8
5,23.7,2,83,27.3
6,24.8,2.6,352,28.4
7,24.8,2.6,122.5,29.4
1,15,1.5,4.5,18.5
2,12.8,2.1,8.5,17.2
3,16.1,1.9,38,20.1
4,17.9,1.6,75,22.5
5,23,0.8,93.5,26.7
6,24.7,2.5,775.5,27.8
7,25,1.5,354,28.5
1,13.8,3.2,100,17.1
2,12.6,4.7,23,16
3,15.8,4,27,20.5
4,19.2,2,29.5,24
5,23.4,2.1,118.5,28
6,24.2,2.3,220,28.4
7,25,2.4,382,28.6
1,14.7,1.8,13,18.9
2,16.1,0.6,9.5,20.4
3,17.4,0.9,143.5,20.8
4,20.5,2.2,45,24.2
5,22.4,1.8,463.5,24.9
6,24,2.5,563.5,27.6
7,24.6,2.7,102.5,28.9
1,13.8,1.8,24.5,17.5
2,14.3,1.9,1,18.5
3,17.6,2,36.5,21.8
4,17.4,1.6,46.5,21.7
5,23.2,1.3,315.5,27.1
6,24.1,2.6,138,28.8
7,24.2,2.6,65.5,29.4