,a,b,c
1,17.2,17.2,0
2,18.6,17.2,1.4
3,20.5,17.2,3.3
4,22.6,17.2,5.4
5,26.1,17.2,8.9
6,27.3,17.2,10.1
7,28.4,17.2,11.2
1,16.6,16.6,0
2,18.5,16.6,1.9
3,21.8,16.6,5.2
4,24.6,16.6,8
5,26.2,16.6,9.6
6,28,16.6,11.4
7,28.4,16.6,11.8
1,15.8,15.8,0
2,18.6,15.8,2.8
3,19.6,15.8,3.8
4,24.1,15.8,8.3
5,26,15.8,10.2
6,27.1,15.8,11.3
7,29.5,15.8,13.7
1,17,17,0
2,18,17,1
3,19.6,17,2.6
4,22.9,17,5.9
5,26.8,17,9.8
6,28,17,11
7,27.9,17,10.9
1,15.9,15.9,0
2,17.1,15.9,1.2
3,17.5,15.9,1.6
4,23.6,15.9,7.7
5,26.7,15.9,10.8
6,27.2,15.9,11.3
7,28.6,15.9,12.7
1,17.6,17.6,0
2,18.3,17.6,0.7
3,19.7,17.6,2.1
4,24,17.6,6.4
5,25.8,17.6,8.2
6,27,17.6,9.4
7,28.7,17.6,11.1
1,17,17,0
2,19.2,17,2.2
3,20.9,17,3.9
4,22.7,17,5.7
5,26,17,9
6,27.2,17,10.2
7,29.4,17,12.4
1,18.9,18.9,0
2,15.9,18.9,-3
3,21.3,18.9,2.4
4,24.5,18.9,5.6
5,25.4,18.9,6.5
6,27.1,18.9,8.2
7,27.9,18.9,9
1,15,15,0
2,21.2,15,6.2
3,20,15,5
4,22.3,15,7.3
5,25.5,15,10.5
6,27.5,15,12.5
7,28.9,15,13.9
1,17,17,0
2,18.6,17,1.6
3,21,17,4
4,21.9,17,4.9
5,26.2,17,9.2
6,26.7,17,9.7
7,28.6,17,11.6
1,14.7,14.7,0
2,16.8,14.7,2.1
3,18,14.7,3.3
4,22.5,14.7,7.8
5,25.5,14.7,10.8
6,28.4,14.7,13.7
7,28.3,14.7,13.6
1,16.8,16.8,0
2,19.6,16.8,2.8
3,21.1,16.8,4.3
4,22.2,16.8,5.4
5,26.2,16.8,9.4
6,28.5,16.8,11.7
7,27.9,16.8,11.1
1,15.7,15.7,0
2,16.9,15.7,1.2
3,19.9,15.7,4.2
4,23.8,15.7,8.1
5,25.6,15.7,9.9
6,28.3,15.7,12.6
7,29.8,15.7,14.1
1,16.6,16.6,0
2,18,16.6,1.4
3,20.7,16.6,4.1
4,24.6,16.6,8
5,26.8,16.6,10.2
6,29.3,16.6,12.7
7,29,16.6,12.4
1,16.9,16.9,0
2,16.4,16.9,-0.5
3,18.3,16.9,1.4
4,24.8,16.9,7.9
5,27.3,16.9,10.4
6,28.4,16.9,11.5
7,29.4,16.9,12.5
1,18.5,18.5,0
2,17.2,18.5,-1.3
3,20.1,18.5,1.6
4,22.5,18.5,4
5,26.7,18.5,8.2
6,27.8,18.5,9.3
7,28.5,18.5,10
1,17.1,17.1,0
2,16,17.1,-1.1
3,20.5,17.1,3.4
4,24,17.1,6.9
5,28,17.1,10.9
6,28.4,17.1,11.3
7,28.6,17.1,11.5
1,18.9,18.9,0
2,20.4,18.9,1.5
3,20.8,18.9,1.9
4,24.2,18.9,5.3
5,24.9,18.9,6
6,27.6,18.9,8.7
7,28.9,18.9,10
1,17.5,17.5,0
2,18.5,17.5,1
3,21.8,17.5,4.3
4,21.7,17.5,4.2
5,27.1,17.5,9.6
6,28.8,17.5,11.3
7,29.4,17.5,11.9